CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
786,Spain,Female,35,3,168600.37006406666,0,0,0,215784.37307141713,0
601,Germany,Male,31,10,82952.39311299831,1,0,0,67822.0518715443,0
707,France,Female,25,10,136922.9570153953,2,1,0,213586.80180743476,0
760,Germany,Male,69,9,114235.041313971,1,0,0,22735.374551255914,1
655,Spain,Male,20,2,166568.55008020546,2,1,0,195718.77893611105,0
764,France,Male,69,4,147505.53020058092,0,1,0,9076.165810498176,0
798,France,Male,28,9,139551.8930662024,0,0,0,63484.026270120055,0
715,Spain,Female,27,8,164104.6626691035,0,0,0,59052.364608246105,0
727,Spain,Male,37,5,200230.89311417963,2,0,0,71992.81381247188,0
649,France,Male,19,2,-2326.0631956968405,1,1,0,130161.3083486832,0
517,France,Female,39,8,2704.2877316187178,2,1,0,188695.6899585757,1
831,Germany,Male,58,7,-2740.7800329820216,1,1,0,118810.43363558414,0
504,France,Male,25,5,209179.49958339302,1,1,1,159979.0817147861,0
882,Spain,Male,35,7,2267.5371182109902,1,1,0,128123.25981561888,1
604,France,Male,30,1,113748.55391123945,0,1,1,214276.70374032407,0
680,France,Female,25,4,121454.03767437863,0,1,1,5540.094486700622,0
819,France,Female,19,5,33418.29888109595,2,1,1,204737.66908374784,0
589,France,Male,60,2,-1106.6097631802688,2,1,0,39390.34249734452,0
721,France,Female,30,5,1087.2003458209197,1,1,0,183139.6693316401,0
669,France,Female,25,2,1796.22829279669,1,0,0,164329.69606898224,0
424,France,Female,58,9,-7038.503682713758,1,0,0,28461.12429823217,0
642,Germany,Male,22,9,-5748.546825900321,0,0,0,93316.7414202483,0
866,Spain,Male,40,2,2029.5059176768775,0,0,0,207197.7388394101,0
493,Spain,Male,36,2,142941.7127005086,0,0,1,46830.720197868264,0
663,France,Male,44,1,181409.80147507778,0,1,1,61172.70619245983,0
600,Spain,Female,52,6,121608.34717501613,0,0,0,133645.08020029927,0
847,France,Female,45,8,-3200.781311612532,1,0,0,127476.5173181117,0
638,France,Male,39,8,140973.45386028776,0,1,0,181164.1529711762,0
583,Spain,Female,49,2,134743.0196521348,0,0,0,214568.515646398,0
487,France,Male,28,4,4527.200268300983,0,0,1,184440.4737408455,0
691,Germany,Male,33,10,172536.07587528153,1,0,0,85768.69201590463,0
772,Spain,Male,40,9,111313.65801246322,1,1,1,61940.91493551369,0
797,Germany,Female,27,0,94982.93283633908,0,1,0,173137.97594640387,0
670,France,Female,31,9,5198.429291413492,2,1,1,205157.7624206159,0
491,Spain,Male,52,1,132400.66470283145,1,1,0,137238.60861749994,0
705,Germany,Male,58,6,96543.7812907945,0,0,0,199890.89799802378,0
886,France,Female,49,10,-2071.4114445866803,0,1,0,67376.97630435631,1
652,France,Female,26,5,9149.002608606761,1,0,1,156428.24566798724,0
615,Germany,Male,19,8,820.2434818622414,1,1,0,157379.2732830617,0
520,Spain,Male,46,8,72918.75491692955,1,1,0,20313.493822026372,1
766,Germany,Male,31,9,173586.0160001206,2,0,1,156542.96243504944,0
627,France,Female,36,7,146426.0205680038,0,0,0,36168.423231609035,0
607,France,Male,23,0,100751.84122101202,0,0,0,174368.4894376443,0
733,France,Male,18,7,133202.7273170573,1,1,1,185016.85180076404,0
575,France,Female,42,2,151891.11287499336,1,0,1,170478.72414253792,0
724,France,Female,19,6,12400.974950070013,0,1,0,165805.97148918954,0
805,France,Female,24,2,8791.166854651308,2,0,0,206541.5852069267,0
705,France,Male,23,1,7820.144075929038,0,0,1,168224.68651347441,0
745,Germany,Male,36,2,181447.3715731268,2,0,0,148595.29187694052,0
647,Germany,Female,62,6,175916.8952018667,0,1,1,83992.8902582592,0
710,Spain,Male,33,7,138913.36378001852,1,0,0,216680.04843024292,0
770,Spain,Female,31,9,6243.220909935448,2,0,0,190879.29477260262,1
642,Spain,Male,28,3,490.4287570999735,0,1,0,139100.29218787182,0
711,Germany,Female,39,8,82458.11345263044,0,0,0,36287.524048318344,0
806,France,Male,54,6,4768.047684494028,1,1,0,80777.05837721354,0
664,France,Male,41,8,129801.61548336386,0,1,0,124153.13426391005,0
789,France,Female,29,8,94280.53625514492,1,0,0,180918.87383466377,0
646,Spain,Male,44,8,169421.01901173015,0,0,0,46943.24717252115,0
731,Spain,Female,24,9,-2037.1109009903853,1,0,1,109281.00058558624,0
663,Spain,Female,26,3,6.583984371607244,0,0,0,117942.29354588992,0
746,Spain,Male,47,4,-4619.372868169419,1,0,0,9049.527501125358,0
785,France,Female,31,4,116689.51329947796,1,0,0,121226.62611785051,0
683,France,Male,39,3,5794.174916603073,0,0,1,53262.43478849727,0
635,Germany,Male,31,6,-5426.794655923933,2,1,0,144006.40174941233,0
626,Germany,Male,30,5,48188.190665788396,1,0,1,102437.36598659158,0
484,Spain,Female,30,4,-2344.686148779214,0,1,0,62252.130318469295,1
808,France,Female,38,1,-7078.364735620194,1,0,0,27441.290626458005,0
908,Germany,Female,34,10,63210.91802859974,2,1,0,69358.7353171064,0
851,France,Male,27,4,63787.0421811701,0,1,0,82544.30715567766,0
694,Spain,Female,28,3,160555.7747207405,2,0,1,105991.82080591514,0
568,Germany,Female,33,9,120690.70943514915,0,0,0,168308.55219756017,0
668,Spain,Female,39,10,-6440.336474794579,1,0,1,154004.13172297197,0
810,Spain,Female,44,11,239.1515235627046,1,1,0,77231.66117386938,1
679,France,Female,32,3,12644.263962073066,2,1,0,177899.2474868226,0
879,France,Male,38,9,147937.92398799112,0,0,0,-19754.4930221993,0
670,Spain,Female,28,11,-3580.319375046243,0,1,1,17819.68236129942,0
688,Spain,Male,25,8,-14552.027594589745,1,0,0,80718.18394155544,0
526,France,Male,34,4,-416.28654148260904,0,1,1,50670.91488746262,0
761,Germany,Female,37,6,5485.744578683293,1,1,0,168871.82521812903,0
784,France,Male,38,4,139349.68846819934,0,0,0,33826.55483412562,0
653,Spain,Female,28,0,152530.4962510697,1,0,0,179871.98081222508,1
777,Spain,Female,48,5,134357.86305494705,0,1,1,116470.28181534514,1
719,Germany,Male,30,9,-2123.551304085548,0,1,0,160779.00987164892,1
604,Spain,Female,35,5,96684.99664304449,2,1,0,44078.99719999298,0
706,Germany,Female,41,1,123967.68738779264,2,0,1,183645.209639606,0
590,Germany,Male,31,5,63.13801800643316,1,0,0,54622.30151400702,0
673,France,Male,37,8,-4622.731313225707,1,1,0,151217.4788963697,0
736,Spain,Male,30,7,53529.57728738886,0,1,0,36964.98936128237,0
732,Germany,Male,74,3,112101.4123471768,1,0,1,99189.24316785553,0
761,Spain,Male,42,9,121185.9023885936,2,0,1,207909.85540870164,0
713,France,Female,44,10,-1822.5120469246522,0,1,0,170249.91732145866,0
759,Spain,Male,21,8,-7545.571974015797,0,1,1,222655.90638613023,0
771,Spain,Female,37,10,-9573.81762123839,0,0,1,194924.16604884667,0
831,France,Female,38,9,114585.2896759204,1,0,0,58584.276502519955,0
750,Spain,Female,53,3,-8289.094184952142,1,0,1,207888.52961292502,0
693,Spain,Male,40,0,114619.82117907591,2,1,1,69550.4308332094,0
654,Spain,Male,36,1,-11907.148920317255,2,0,0,63478.41158964313,0
657,France,Female,32,5,143184.26949380178,1,0,0,-3958.7466441795077,0
697,Spain,Male,20,3,90557.02954112421,2,1,0,35587.46958316612,0
710,Spain,Male,45,4,94041.37214055589,1,1,1,121681.83101079059,0
487,Germany,Female,44,8,-2314.5348796197795,0,1,0,91974.52909796571,0
677,Germany,Male,23,0,146004.76954025452,0,0,1,224157.7876210917,0
679,France,Female,42,9,52671.58478822104,0,1,0,189790.79777264636,0
868,Germany,Male,51,3,86397.80043831374,0,1,0,91606.20076663455,1
684,France,Male,34,0,172805.18129166827,2,0,1,67004.2368104301,0
701,France,Male,48,3,153953.8678846774,3,1,0,212439.874185576,0
635,France,Male,33,8,-5685.866483465251,0,0,0,101880.83277561775,0
630,France,Male,53,5,133287.883508498,1,1,0,94622.73970439586,0
795,Germany,Female,40,4,194.6401057707298,0,1,0,211748.3008920844,0
880,France,Male,35,6,88213.1037610574,0,0,0,111326.31510898942,0
487,Germany,Female,41,10,109961.378821481,0,0,0,217892.19269633884,0
615,France,Male,32,6,-5.034292847178989,0,0,0,61949.45290735149,0
794,Germany,Female,27,2,-2862.954572910029,2,1,0,101006.59672465123,0
513,Germany,Male,72,4,66670.18707821178,0,1,1,59784.23633844909,0
713,Spain,Female,37,10,53037.92945468043,1,0,0,139183.81242795102,0
775,France,Male,28,10,202441.0751750181,0,0,1,181889.98915701485,0
759,Germany,Male,31,4,8551.485825800903,1,0,0,100741.77621540609,0
913,France,Male,55,8,825.7374633152381,1,0,0,199817.54840215965,0
605,France,Female,28,7,92049.84555105185,0,0,0,-21831.923747090146,0
759,France,Male,31,8,90759.19472290517,1,1,1,182440.80720593478,0
678,Germany,Female,43,6,-13850.465308367824,0,1,1,36558.84513751782,0
793,France,Male,41,11,-4349.172829807048,1,1,1,203723.50111841905,0
674,France,Female,42,5,-4238.711257893321,2,0,0,51163.681432803096,0
708,France,Female,61,1,-8497.178312287879,1,1,0,218006.50865814465,1
606,France,Female,24,7,-8261.760694973547,1,1,0,153329.95499180251,0
522,France,Female,26,9,140078.4485779952,0,0,0,104862.74290664555,0
429,Germany,Female,39,8,119180.54095988937,2,0,1,180122.7608203255,0
562,Spain,Female,60,7,-4601.936159157905,1,1,0,118477.84971621429,0
405,Spain,Female,45,1,177304.42343437657,0,1,1,150391.56720451504,0
590,France,Female,26,1,68454.86288630209,1,1,0,153998.38190227398,0
796,Spain,Female,41,1,-8.236659329098075,0,1,0,43993.6671821856,0
607,France,Male,24,2,9221.381164726721,1,0,1,146305.67996034116,0
844,Germany,Female,78,9,135241.26664688313,1,0,0,45954.75975328132,0
751,Spain,Male,39,5,144079.44568841832,2,0,0,176820.6082528741,1
625,Germany,Female,27,7,-12884.978022605183,1,0,1,61434.80989565095,0
495,Germany,Male,41,6,-5522.673571715228,2,0,0,64267.6289002752,0
632,Germany,Male,32,11,93284.4700999567,1,0,0,149584.3589534597,0
701,France,Male,42,10,107017.43121107617,0,0,0,74973.08085345586,0
558,France,Male,27,3,1699.9083074754237,1,0,1,83880.6072768493,0
758,Spain,Male,33,7,50681.61999485326,0,1,0,78988.26666367229,1
323,France,Female,24,8,-538.8417208188819,1,0,0,61469.541222049476,0
827,Germany,Male,22,8,-2104.2805838770946,0,1,0,108582.40901453343,0
765,Spain,Male,33,2,65902.25069724247,0,0,0,133915.42222774608,0
630,Spain,Male,36,0,151033.92756027228,0,1,0,170684.7406199015,0
706,Spain,Male,40,2,-16438.34422799784,0,0,0,62871.524463125024,0
506,France,Male,28,8,104050.30319052089,1,0,1,91134.19385196503,0
635,Spain,Male,67,9,3274.5699953826947,1,1,0,66827.14273670106,0
560,France,Female,32,9,7998.987216559609,0,1,0,192780.2558796216,0
708,Spain,Female,36,1,13135.845256181648,2,0,0,68212.83243418584,0
697,France,Male,47,7,112623.55609826543,1,1,0,51282.11899653559,0
708,Germany,Male,47,11,13264.930875643086,1,1,0,172176.13033330205,0
598,Germany,Female,30,9,180.9489930482108,1,1,0,170793.3620287459,0
818,France,Male,34,8,-9070.943321099752,0,0,1,237273.64322510554,0
869,France,Female,33,10,125606.54537415641,0,1,0,185668.56548294515,0
593,Germany,Female,37,1,166662.49494847405,1,0,0,114044.14462429042,0
711,Spain,Male,37,8,150461.0759096829,0,0,1,91907.54728720868,0
650,Germany,Male,43,0,166836.20515004548,1,1,0,173971.15510131282,1
723,Germany,Male,35,10,-5673.8392475476585,0,0,0,50240.016193149626,0
791,France,Male,36,2,122878.6209362998,2,0,0,150235.3207866485,0
526,Germany,Female,47,4,8889.726272400005,0,1,0,194199.5690585394,0
848,France,Male,29,3,105950.85843547496,1,0,0,224888.84840362222,0
783,France,Male,37,7,73290.36938075094,1,1,0,171753.4943707717,0
729,Germany,Female,49,7,94376.23063376435,2,1,0,73358.7370619841,0
614,France,Female,15,1,101780.86627149812,1,0,0,53289.27290664011,0
798,France,Female,53,8,-5016.4542728087035,1,1,0,74469.508508767,0
745,Germany,Male,27,9,-7501.5062979969925,1,1,1,12902.087778925343,0
674,France,Male,29,10,74268.88485694697,2,1,0,79530.13002584214,0
664,Germany,Male,34,4,76861.77001540706,2,0,0,86688.80495868027,0
690,France,Female,33,6,-4370.378564727635,0,1,0,5980.451986742464,0
744,Germany,Male,29,11,188142.40855222405,1,0,0,192819.37124638906,0
574,France,Male,58,8,-9113.834479462,0,1,0,160710.7372573353,0
606,Germany,Male,32,8,-1676.214709254123,1,0,0,116222.93906134366,0
651,Spain,Male,30,3,4187.729955369816,1,0,0,21083.108181093867,0
639,Spain,Female,36,8,147933.1541470128,2,0,1,161486.41481438122,0
725,France,Male,34,4,110617.12962262271,0,1,1,106836.42978316711,0
769,Spain,Male,28,4,166538.4135266812,0,0,0,165673.6056412864,0
688,France,Male,50,3,146605.821488254,0,1,0,179758.24207003546,0
788,Spain,Male,78,3,60566.61493724135,2,0,0,90422.76301473414,0
694,France,Male,29,8,2372.22960699218,1,1,0,153009.70295470193,0
706,France,Male,36,7,141257.70634332308,1,0,0,172713.16049675163,0
792,Germany,Female,31,8,79175.52551475198,0,0,1,224353.93646002054,0
897,Spain,Female,48,2,97136.35987936016,0,0,1,151679.664637994,0
602,Spain,Female,48,7,95247.98960957263,2,1,1,75927.0974842132,1
612,Germany,Male,43,10,-6598.052056599914,1,0,1,13869.007564553467,0
782,Spain,Male,43,3,107101.705886854,1,0,0,217064.5970173414,0
608,France,Male,39,6,98034.82756821124,1,0,0,148746.50828664782,0
705,Germany,Male,30,6,160240.9592037671,1,1,0,188842.63343164427,0
813,France,Male,38,1,4357.458075986819,0,1,0,179314.34216373053,1
640,Spain,Female,22,11,13361.118743363208,0,0,0,186568.14768376166,1
627,France,Female,37,3,186897.70051171893,1,0,1,136074.36381086722,0
478,France,Male,25,10,-4942.7232702391675,0,0,1,80126.58371062865,0
775,France,Male,24,3,56585.804565443665,1,0,0,159227.87017542898,0
787,Spain,Male,36,3,70787.4439529356,1,0,0,124863.49535826116,0
775,France,Male,44,3,2118.8846474919105,0,0,0,208619.90647523315,0
812,Spain,Male,31,6,2141.5987119962033,1,0,0,84905.62572218096,1
619,France,Female,18,3,127623.26868492163,2,1,0,212967.3394309216,0
713,Spain,Male,22,6,164025.5547650331,1,0,0,159970.7273162121,0
492,Spain,Female,40,5,129593.97533730196,0,1,0,216904.7417951555,0
715,France,Female,42,5,9682.117924062295,0,0,0,76848.99711296501,0
577,Spain,Female,29,2,10920.759991887202,0,1,0,51523.48674827881,1
841,France,Male,31,3,2792.758524262342,1,0,0,70935.90522789636,0
622,Spain,Female,47,3,1299.095635981122,2,0,0,165112.4376429304,0
662,Germany,Male,25,4,184935.00714761572,1,1,0,218232.3932561861,0
756,Spain,Female,44,5,5001.990587945654,1,0,0,-9346.034984841757,0
675,France,Male,40,3,53345.99704956391,1,0,0,204557.20172908212,0
735,Spain,Female,34,1,155158.51348428451,2,1,0,95804.06736100528,0
752,Spain,Male,29,8,79922.7641833883,1,1,0,85085.44496104811,1
513,France,Female,49,8,149888.38411287934,1,0,0,36596.511540886546,0
937,Germany,Male,39,4,6532.753271269408,0,0,1,188386.43000458623,0
570,Spain,Female,50,8,133019.94220084458,1,1,0,139030.26131428673,0
819,France,Female,38,8,104513.81035516907,3,0,0,51423.45314475337,0
884,Spain,Male,44,9,128859.98374498331,2,1,0,161199.71017491666,0
734,Spain,Female,28,8,-8098.470844865289,1,0,0,71700.21636687545,0
733,Germany,Female,44,9,208930.4497520093,0,1,1,213792.24133499566,0
